ts,open,high,low,close,volume
2025-03-10 00:00:00-04:00,150.32548594736127,153.46005302198694,148.44283251396212,148.853759765625,1506400
2025-03-11 00:00:00-04:00,148.58615030235302,148.91108608571463,144.811292723415,145.1171112060547,1889000
2025-03-12 00:00:00-04:00,145.22224552126025,146.13967187443336,142.45081999510836,142.60372924804688,909000
2025-03-13 00:00:00-04:00,143.0050988427692,143.97987705981197,137.96876173398127,138.09300231933594,1233200
2025-03-14 00:00:00-04:00,138.0930161393701,140.28695244108206,137.48411866262754,140.13232421875,1543800
2025-03-17 00:00:00-04:00,139.8423712691029,142.20062492554908,139.38811676572686,141.71737670898438,1125200
2025-03-18 00:00:00-04:00,140.85720186351745,143.08013196250815,140.3836132806758,142.9641571044922,1336600
2025-03-19 00:00:00-04:00,142.10397373752608,143.515065062062,140.634894984836,141.87200927734375,1192100
2025-03-20 00:00:00-04:00,142.5002249598996,143.03180090473364,140.62521967133821,140.98281860351562,1288200
2025-03-21 00:00:00-04:00,140.692895845551,140.692895845551,138.57626625231327,138.98219299316406,1769800
2025-03-24 00:00:00-04:00,139.5427712016446,141.5144175983238,139.0885166609393,141.0988311767578,1248200
2025-03-25 00:00:00-04:00,141.21480637091437,141.86235726613884,138.20900161990744,139.7457275390625,1034900
2025-03-26 00:00:00-04:00,140.3352870403209,141.10848717986073,138.88554230902096,140.7025604248047,532700
2025-03-27 00:00:00-04:00,141.4274279265866,143.4667360350501,139.93901512833673,140.32562255859375,650400
2025-03-28 00:00:00-04:00,141.48541297770512,141.48541297770512,139.7553908425064,140.58657836914062,612700
2025-03-31 00:00:00-04:00,141.1858004854376,144.42355468247416,141.1858004854376,143.5150604248047,1355000
2025-04-01 00:00:00-04:00,144.21093567014543,144.65551575963164,141.54339614296887,142.88682556152344,830000
2025-04-02 00:00:00-04:00,142.384267268137,143.18644636166874,140.57690883798665,142.52923583984375,1442500
2025-04-03 00:00:00-04:00,141.1568169576232,143.5633838073026,138.59559238076102,139.33013916015625,1530000
2025-04-04 00:00:00-04:00,138.05435164070605,139.45576856665622,133.279856739862,133.57948303222656,1378900
2025-04-07 00:00:00-04:00,132.8739163211932,134.159358258192,126.35974025020421,127.94479370117188,1775800
2025-04-08 00:00:00-04:00,130.40936122345371,130.40936122345371,120.72507724162027,122.36811828613281,1634700
2025-04-09 00:00:00-04:00,120.04852315091522,131.64648792288835,116.97506414544345,131.14390563964844,1864000
2025-04-10 00:00:00-04:00,130.24505760213398,132.6419794404756,124.58138775829866,127.42288970947266,2067900
2025-04-11 00:00:00-04:00,126.35974863729264,129.50086203653197,124.24311909481017,129.38487243652344,1346100
2025-04-14 00:00:00-04:00,129.80048292472145,133.1832206753784,129.5105310251519,133.0575714111328,1139900
2025-04-15 00:00:00-04:00,132.91259610673214,134.58463083809536,132.3230326815603,133.6084747314453,1171000
2025-04-16 00:00:00-04:00,134.35266755997247,135.36749179221744,132.48733647149692,133.58914184570312,632800
2025-04-17 00:00:00-04:00,134.82624434037024,137.3391408149154,134.39132392104318,136.449951171875,714500
2025-04-21 00:00:00-04:00,135.07754109079022,136.0150438447792,131.77212493914934,133.56980895996094,946700
2025-04-22 00:00:00-04:00,135.89905924861168,138.0930102035842,135.22251471884792,137.07818603515625,789700
2025-04-23 00:00:00-04:00,139.3301444332182,139.61042194025998,135.5414797746264,136.5659637451172,798300
2025-04-24 00:00:00-04:00,136.9912181333045,138.4699565867784,135.7734231145146,137.10719299316406,906100
2025-04-25 00:00:00-04:00,137.01052977402853,137.66775502075728,135.03888352897283,136.32432556152344,730000
2025-04-28 00:00:00-04:00,135.8507263311489,137.35845829679178,135.64777035369303,137.15550231933594,804100
2025-04-29 00:00:00-04:00,136.79790455760198,137.52277691371967,135.39648761862094,136.69158935546875,1154400
2025-04-30 00:00:00-04:00,138.64390250681623,141.95899275286033,136.73024380724942,141.61105346679688,1782900
2025-05-01 00:00:00-04:00,141.70771550365498,145.04214030654333,140.63490377306624,143.31210327148438,1467700
2025-05-02 00:00:00-04:00,145.708987027202,146.50152112723066,143.88230948288026,144.5491943359375,838100
2025-05-05 00:00:00-04:00,144.2302608248665,145.28375316147606,143.1864428911801,144.375244140625,833000
2025-05-06 00:00:00-04:00,143.1671128978361,144.18192229459694,142.1909421196231,142.28759765625,654900
2025-05-07 00:00:00-04:00,142.43258064496425,144.00797461670362,141.94933240799546,142.29727172851562,996000
2025-05-08 00:00:00-04:00,142.57755069227642,143.9886271542336,140.79918613762632,142.4905548095703,925200
2025-05-09 00:00:00-04:00,142.60655575235697,144.42355907046672,142.60655575235697,143.44740295410156,522300
2025-05-12 00:00:00-04:00,145.09042823418892,146.00861157038122,142.21027322281168,143.90164184570312,876100
2025-05-13 00:00:00-04:00,144.56855869328223,144.906823644202,141.05051176879923,142.09432983398438,914500
2025-05-14 00:00:00-04:00,141.22446201534146,141.57240134069744,139.81338540241765,140.9248504638672,1001700
2025-05-15 00:00:00-04:00,141.53374887495733,143.71802564125474,141.17614989156527,143.60205078125,687100
2025-05-16 00:00:00-04:00,143.66970182416713,146.80115585864021,143.4860798732908,146.67550659179688,646600
2025-05-19 00:00:00-04:00,144.9551352937576,147.70965611047797,144.73284523673573,147.47769165039062,699200
2025-05-20 00:00:00-04:00,146.59816549500545,148.23154675526047,146.16324506860707,146.96543884277344,928200
2025-05-21 00:00:00-04:00,145.80565654152278,146.41455403052717,139.89070292570523,140.5382537841797,849100
2025-05-22 00:00:00-04:00,140.39326596322854,140.96351006447105,138.0253526617622,139.92935180664062,1425900
2025-05-23 00:00:00-04:00,140.26762991841065,141.243785991849,139.3107931550931,140.84751892089844,829200
2025-05-27 00:00:00-04:00,142.32626589027262,143.28310271160197,140.68322482892762,142.9641571044922,844700
2025-05-28 00:00:00-04:00,142.8578351826405,143.6503693353142,141.95900058016272,143.5150604248047,753100
2025-05-29 00:00:00-04:00,144.07562986933712,146.40487505700918,143.43773868625252,145.75732421875,759500
