ts,open,high,low,close,volume
2025-03-10 00:00:00-04:00,183.06389885101038,184.8689800738097,178.9561413094186,181.9613494873047,9161400
2025-03-11 00:00:00-04:00,183.54200837309003,183.7566671672071,172.61398792238077,173.03353881835938,7981400
2025-03-12 00:00:00-04:00,173.92144461306984,175.25817128849258,170.506437285464,171.43336486816406,5436100
2025-03-13 00:00:00-04:00,170.82842496483045,172.67252832067624,167.91102763965628,169.38436889648438,5277200
2025-03-14 00:00:00-04:00,171.33579983830907,172.5651970997952,170.8186713553486,172.13587951660156,4927900
2025-03-17 00:00:00-04:00,171.8236504990261,176.88760571113576,171.69680261274942,175.6191864013672,4940400
2025-03-18 00:00:00-04:00,175.33622950864827,175.404536801219,173.2969858592554,175.09230041503906,4077700
2025-03-19 00:00:00-04:00,175.30696581505728,179.20007965554544,174.37028639771862,177.3267059326172,5675000
2025-03-20 00:00:00-04:00,175.05327041350245,177.39498365120616,174.165364979642,176.29241943359375,4980000
2025-03-21 00:00:00-04:00,174.194640878666,175.47282693048615,172.7408181398342,174.65322875976562,11822900
2025-03-24 00:00:00-04:00,178.50731063476775,182.92730469194083,178.09751153741567,181.00514221191406,5694900
2025-03-25 00:00:00-04:00,180.00990961516135,182.30283403903405,179.09273389031245,179.50253295898438,4357200
2025-03-26 00:00:00-04:00,179.78549272855986,181.49299637370572,178.82929485598822,180.00991821289062,5814200
2025-03-27 00:00:00-04:00,178.57561189457383,178.57561189457383,173.20917192903863,176.3704833984375,5035900
2025-03-28 00:00:00-04:00,175.29720240637113,176.34121115536124,171.3162779255842,172.04806518554688,5490600
2025-03-31 00:00:00-04:00,171.16016257528054,175.82408559839075,169.73562502301684,175.3362274169922,9222700
2025-04-01 00:00:00-04:00,174.9264226432038,175.1996220248435,170.03808918431204,173.66775512695312,5965400
2025-04-02 00:00:00-04:00,171.55044172598272,175.56062130268862,170.9357357116853,173.86288452148438,4368900
2025-04-03 00:00:00-04:00,167.66708801886477,169.9600273147215,160.01747568142065,160.21261596679688,11895300
2025-04-04 00:00:00-04:00,155.79262962127746,157.1586414600396,147.29414845182382,147.7136993408203,14976900
2025-04-07 00:00:00-04:00,147.24535505245018,158.9441843301227,141.67400825281882,150.26031494140625,18337200
