ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,214.88999938964844,222.0500030517578,206.77000427246094,217.4499969482422,8615100,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,205.0800018310547,206.83999633789062,176.85000610351562,179.22999572753906,18664100,,,,-0.857500027387573,-0.4763889041042072,-0.3811111232833658
2025-03-11 00:00:00-04:00,186.0,195.69000244140625,183.3000030517578,191.69000244140625,11382200,,,,-0.7062411747292003,-0.5705906543603518,-0.1356505203688485
2025-03-12 00:00:00-04:00,195.39999389648438,199.1999969482422,183.75,191.72999572753906,9616800,,,,-0.6186935628049923,-0.5868856775462056,-0.03180788525878675
2025-03-13 00:00:00-04:00,188.6199951171875,188.85000610351562,177.11000061035156,177.49000549316406,9559400,,,,-1.124738426841617,-0.7468847105350832,-0.37785371630653375
2025-03-14 00:00:00-04:00,183.80999755859375,186.74000549316406,179.16000366210938,183.1199951171875,9454400,,,,-1.167057021939712,-0.860774768054336,-0.3062822538853761
2025-03-17 00:00:00-04:00,182.0,193.24000549316406,180.77000427246094,188.9600067138672,7216500,,,,-0.9095318317763486,-0.873113880162278,-0.036417951614070576
2025-03-18 00:00:00-04:00,185.0,186.49000549316406,178.77999877929688,181.13999938964844,7408200,,,,-1.0941472740677511,-0.9262323612516569,-0.16791491281609427
2025-03-19 00:00:00-04:00,184.8300018310547,193.77999877929688,182.8000030517578,189.75,8194200,,,,-0.7781686078310486,-0.8920288996634279,0.11386029183237933
2025-03-20 00:00:00-04:00,185.88999938964844,193.92999267578125,185.8800048828125,190.3800048828125,6718000,,,,-0.5102492114240249,-0.8064880872173142,0.29623887579328934
2025-03-21 00:00:00-04:00,185.57000732421875,190.72000122070312,183.75,189.86000061035156,7344800,,,,-0.3371941026742036,-0.7038092449151099,0.3666151422409063
2025-03-24 00:00:00-04:00,197.5,203.25,194.4199981689453,203.0399932861328,9489500,,,,0.518258351319048,-0.4413603767800839,0.9596187280991318
2025-03-25 00:00:00-04:00,202.1300048828125,206.92999267578125,198.33999633789062,204.22999572753906,7877700,,,,1.2130312116263724,-0.09123363807893242,1.3042648497053049
2025-03-26 00:00:00-04:00,203.0,206.0,192.2899932861328,193.9499969482422,7113400,,,,1.1215338427785184,0.16247822378136134,0.9590556189971571
2025-03-27 00:00:00-04:00,192.97000122070312,195.3300018310547,187.8000030517578,188.5800018310547,5426300,,,,0.719557186528931,0.2779570669161163,0.44160011961281465
2025-03-28 00:00:00-04:00,185.72000122070312,186.7899932861328,172.99000549316406,173.92999267578125,10040200,,,,-0.48302248610445986,0.12135314786523674,-0.6043756339696966
2025-03-31 00:00:00-04:00,169.3800048828125,173.5800018310547,163.52000427246094,172.22999572753906,7781300,,,,-1.4993664060389449,-0.21025798171361568,-1.2891084243253292
2025-04-01 00:00:00-04:00,172.82000732421875,176.0500030517578,168.5500030517578,174.52000427246094,5489700,,,,-2.114930271587127,-0.598180632917968,-1.5167496386691592
2025-04-02 00:00:00-04:00,170.57000732421875,184.11000061035156,170.35000610351562,182.9499969482422,8208600,,,,-2.0214985918685215,-0.8870066462310602,-1.1344919456374614
2025-04-03 00:00:00-04:00,168.5800018310547,172.02999877929688,164.64999389648438,170.75999450683594,9556200,187.2494987487793,,,-2.7196898574522663,-1.2578184575900817,-1.4618713998621846
2025-04-04 00:00:00-04:00,166.02000427246094,167.5,147.1699981689453,160.5500030517578,14570800,184.40449905395508,,,-3.9020204836769494,-1.7915819621900761,-2.1104385214868735
