ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,34.8638655936305,36.14634998743383,34.58763922787957,36.077293395996094,4549800,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,36.19567056143421,37.23152681579394,35.87011864175371,36.06742477416992,5310600,,,,-0.000221411387130388,-0.0001230063261835489,-9.84050609468391e-05
2025-03-11 00:00:00-04:00,35.949040178275006,36.07728973362674,35.19928136307589,35.36698913574219,4151500,,,,-0.022002589290295305,-0.009090048524590005,-0.0129125407657053
2025-03-12 00:00:00-04:00,35.01184296732813,35.28806930793532,33.74908591747748,33.94639205932617,6203700,,,,-0.08265998475600611,-0.03401211364363339,-0.04864787111237272
2025-03-13 00:00:00-04:00,33.75895125821979,34.37059687408795,33.59123973060832,34.084503173828125,4771200,,,,-0.10838434631328653,-0.05613617143446309,-0.05224817487882344
2025-03-14 00:00:00-04:00,34.163432016030725,34.5481769546272,33.74908870756394,34.12397003173828,2992100,,,,-0.12012328490735058,-0.07348023680030344,-0.04664304810704714
2025-03-17 00:00:00-04:00,34.04504333349568,34.55803779826084,33.93652853034486,34.380462646484375,3691500,,,,-0.11396295114754196,-0.08372533182104494,-0.030237619326497017
2025-03-18 00:00:00-04:00,34.42979262327686,34.44951985089396,33.94639275402013,34.0450439453125,3361800,,,,-0.12395233464866351,-0.09339263706947752,-0.030559697579185988
2025-03-19 00:00:00-04:00,33.91680053056608,34.08450832019808,33.38407502826091,33.630706787109375,5109400,,,,-0.1495405818538913,-0.10636309086606757,-0.043177490987823725
2025-03-20 00:00:00-04:00,33.6208365155681,33.69975670585611,32.920399599017834,32.98945617675781,5791700,,,,-0.19854695047285276,-0.12701762668369374,-0.07152932378915902
2025-03-21 00:00:00-04:00,32.772426736914845,33.18676625273703,32.55538960197845,32.742828369140625,8139300,,,,-0.24431450961035495,-0.1526815144411563,-0.09163299516919865
2025-03-24 00:00:00-04:00,32.85134719792752,33.42353464429255,32.85134719792752,33.14730453491211,3543800,,,,-0.2523268757494961,-0.17408115908509184,-0.07824571666440425
2025-03-25 00:00:00-04:00,33.3051446442789,33.39393221089542,32.358079775903484,32.496192932128906,3684000,,,,-0.29170194677072203,-0.19897380426318886,-0.09272814250753317
2025-03-26 00:00:00-04:00,32.515925457600254,33.07824548498431,32.35808130541002,32.91053771972656,2719500,,,,-0.2933722751969654,-0.21872203481472055,-0.07465024038224485
2025-03-27 00:00:00-04:00,33.2262254318137,33.45312616133608,32.861211541999566,33.24595642089844,2761500,,,,-0.2709845135437945,-0.22955570649605983,-0.04142880704773466
2025-03-28 00:00:00-04:00,33.147307522456956,33.551783464228116,33.038792707646884,33.2952880859375,2513100,,,,-0.2475988885825231,-0.23326885886089396,-0.01433002972162914
2025-03-31 00:00:00-04:00,33.17689947411873,34.05490778052905,33.17689947411873,33.76881408691406,3598900,,,,-0.1973874632859136,-0.22592726167412472,0.028539798388211107
2025-04-01 00:00:00-04:00,33.6504330791282,33.828008221759596,33.34460838608491,33.5616455078125,3495900,,,,-0.16957240790674888,-0.21444952642386506,0.04487711851711618
2025-04-02 00:00:00-04:00,33.26568896863541,33.374207532035356,32.96972788179863,33.196632385253906,2491700,,,,-0.1695488866424526,-0.20533808881309074,0.035789202170638135
2025-04-03 00:00:00-04:00,32.85134836337937,33.147305710863506,30.86843074826402,30.927621841430664,5555500,33.70025320053101,,,-0.31538875073439954,-0.22760494051906963,-0.08778381021532991
2025-04-04 00:00:00-04:00,30.315973967672786,30.76977736177928,28.31332538113483,28.40211296081543,5995400,33.316494178771975,,,-0.5913743821794455,-0.30103611186355705,-0.29033827031588844
2025-04-07 00:00:00-04:00,27.968039479375477,28.915104450571913,26.754611779410983,28.254131317138672,8172000,32.92582950592041,,,-0.8079250152099746,-0.40316748908383176,-0.40475752612614285
2025-04-08 00:00:00-04:00,28.974297987668027,29.132142152612932,27.13935721811995,27.593158721923828,6382800,32.53713798522949,,,-1.011197330152882,-0.5254955547441273,-0.4857017754087547
2025-04-09 00:00:00-04:00,26.932185950905286,30.404761391386156,25.89633336881312,30.335704803466797,12042100,32.35660362243652,,,-0.9685975065581687,-0.6145364287459272,-0.3540610778122415
2025-04-10 00:00:00-04:00,29.694459853778966,29.842438511389595,27.238008116160188,27.760866165161133,6546800,32.04042177200317,,,-1.1030470268601036,-0.7126090562800859,-0.3904379705800177
2025-04-11 00:00:00-04:00,27.87925190250415,27.87925190250415,26.419192464449786,27.46491050720215,6639000,31.707468795776368,,,-1.215563306777387,-0.813504845190306,-0.40205846158708103
2025-04-14 00:00:00-04:00,27.997634887695312,28.313325102143896,27.681946554897618,27.997634887695312,4535700,31.388327407836915,,,-1.2512646672634098,-0.9012690103354885,-0.34999565692792134
2025-04-15 00:00:00-04:00,27.908849248800717,28.116019012012593,27.149223020388725,27.42544937133789,5152400,31.057347679138182,,,-1.3054320007768965,-0.9822582644243769,-0.32317373635251956
2025-04-16 00:00:00-04:00,27.49450646125523,28.204805175895274,27.19854725225045,27.445178985595703,5393700,30.7480712890625,,,-1.331091587607343,-1.0521330550623043,-0.2789585325450388
2025-04-17 00:00:00-04:00,27.59315991819492,28.707936498305436,27.54383432013026,28.500764846801758,5523400,30.523636722564696,,,-1.2590066885913629,-1.0935590646840945,-0.16544762390726842
2025-04-21 00:00:00-04:00,28.362651104243884,28.42184219707744,27.889118598273594,28.155481338500977,4066800,30.294269371032716,,,-1.213372365607814,-1.1175454798638382,-0.09582688574397569
2025-04-22 00:00:00-04:00,28.50076254523148,28.74739427894003,28.116017642774406,28.23440170288086,4604400,30.04862422943115,,,-1.1578704147095529,-1.125616861640452,-0.03225355306910083
2025-04-23 00:00:00-04:00,28.846048267895885,29.891766325278365,28.77699168132122,29.20119857788086,4590500,29.88387451171875,,,-1.0295207931010708,-1.106385458582761,0.07686466548169024
2025-04-24 00:00:00-04:00,29.319581941284333,30.069342691651617,29.09268118149778,30.000286102294922,3601300,29.73836193084717,,,-0.857790695623212,-1.0566412826970835,0.1988505870738715
2025-04-25 00:00:00-04:00,29.812843322753906,30.020014957732215,29.556346093645466,29.812843322753906,3466700,29.566706275939943,,,-0.7276322762264229,-0.9908127781891108,0.26318050196268794
2025-04-28 00:00:00-04:00,29.901632369072047,30.404761356893466,29.684597109907298,30.118669509887695,3970800,29.407875347137452,,,-0.5944435105415486,-0.9115131904720867,0.31706967993053803
2025-04-29 00:00:00-04:00,30.10880340376313,30.927620708913167,30.000284835555615,30.562604904174805,3422700,29.24756488800049,,,-0.4498712314103166,-0.8191608226142574,0.3692895912039408
2025-04-30 00:00:00-04:00,30.6908546849405,30.95721553718604,30.217320308574365,30.750045776367188,5553200,29.106984901428223,,,-0.31735706068518965,-0.7187792217856184,0.4014221611004287
2025-05-01 00:00:00-04:00,31.716841891832658,32.16077599391088,30.108801963146654,30.25678062438965,7085600,28.95999231338501,,,-0.24755451498868197,-0.6245186186971655,0.37696410370848354
2025-05-02 00:00:00-04:00,30.641526569413973,30.82896721695529,29.822709275397674,30.296241760253906,4175300,28.92842330932617,,,-0.1870632897731639,-0.5370159218089241,0.3499526320357602
2025-05-05 00:00:00-04:00,29.911497148742445,30.661257864707203,29.773383976366333,30.020015716552734,3911600,29.00931844711304,,,-0.15873441239127217,-0.4613515739118331,0.30261716152056095
2025-05-06 00:00:00-04:00,29.901633823638683,30.098939982768893,29.467563284193794,29.52675437927246,3321700,29.072949600219726,,,-0.1726520285661337,-0.4036067524565627,0.23095472389042898
2025-05-07 00:00:00-04:00,29.585942361144127,30.483681715584304,29.457694688360156,30.306106567382812,3696900,29.208596992492676,,,-0.12149781480082211,-0.3471811247961875,0.2256833099953654
2025-05-08 00:00:00-04:00,30.49354838164704,31.637919512167308,30.394895308674425,30.77964210510254,4087100,29.23079385757446,,,-0.043459357847968505,-0.28643346398929503,0.24297410614132653
2025-05-09 00:00:00-04:00,30.868431357093915,31.0657356320912,30.434358941458342,30.483684539794922,2642400,29.366934776306152,,,-0.004779323700365268,-0.23010018227103685,0.22532085857067158
2025-05-12 00:00:00-04:00,31.13478928456932,32.23970027056928,31.13478928456932,31.450477600097656,6269000,29.566213130950928,,,0.10061727384635333,-0.1639543862029587,0.26457166004931204
2025-05-13 00:00:00-04:00,31.213712236642724,31.233443227327907,30.493548011491047,30.730314254760742,5922300,29.7028470993042,,,0.12598484774069973,-0.10596492290392048,0.23194977064462022
2025-05-14 00:00:00-04:00,30.54287182053927,30.611930283899177,29.832573132265352,29.911495208740234,3704600,29.827149391174316,,,0.08059702631702947,-0.0686517009470751,0.14924872726410457
2025-05-15 00:00:00-04:00,29.95095893172351,30.651392166015054,29.635270607442767,30.621797561645508,2838400,29.985980319976807,,,0.0995807382898235,-0.03500461281558411,0.13458535110540762
2025-05-16 00:00:00-04:00,30.651393141825466,31.272906196484,30.493548974660005,31.233444213867188,3022300,30.122614288330077,,,0.16113809581667837,0.004224488807316164,0.15691360700936222
2025-05-19 00:00:00-04:00,30.809237092589637,31.20384750773158,30.621798321429015,31.046003341674805,2749700,30.26714038848877,,,0.19283186765385452,0.041946395284655706,0.1508854723691988
2025-05-20 00:00:00-04:00,30.878292467339556,31.19398266870579,30.828966873003075,31.036136627197266,1999800,30.40722713470459,,,0.214679131314238,0.07649325805492531,0.1381858732593127
