ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,55.54999923706055,55.81999969482422,54.849998474121094,55.06999969482422,6355500,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,55.68000030517578,57.130001068115234,55.47999954223633,55.77000045776367,8910400,,,,0.015705145322350234,0.008725080734639018,0.006980064587711216
2025-03-11 00:00:00-04:00,55.5,55.75,54.689998626708984,55.22999954223633,6477700,,,,0.0032660763266960657,0.006487783846137807,-0.0032217075194417412
2025-03-12 00:00:00-04:00,54.400001525878906,54.86000061035156,54.0,54.400001525878906,5563200,,,,-0.03243826159317109,-0.006698545909725639,-0.025739715683445453
2025-03-13 00:00:00-04:00,54.31999969482422,54.84000015258789,54.16999816894531,54.34000015258789,3597600,,,,-0.053544150438185056,-0.02063405415831542,-0.03291009627986964
2025-03-14 00:00:00-04:00,54.220001220703125,55.43000030517578,54.220001220703125,55.09000015258789,5064500,,,,-0.033154760772859504,-0.024027861788678006,-0.009126898984181498
2025-03-17 00:00:00-04:00,55.0,56.369998931884766,54.869998931884766,56.209999084472656,4360900,,,,0.031230071621628497,-0.010043552990050855,0.041273624611679355
2025-03-18 00:00:00-04:00,56.09000015258789,57.0,56.02000045776367,56.79999923706055,5476800,,,,0.1019602345705124,0.016873063392444407,0.085087171178068
2025-03-19 00:00:00-04:00,56.70000076293945,57.029998779296875,56.15999984741211,56.81999969482422,4462400,,,,0.15038046946649786,0.04771393652920769,0.10266653293729017
2025-03-20 00:00:00-04:00,56.84000015258789,57.099998474121094,56.560001373291016,56.869998931884766,4953100,,,,0.18511604776084312,0.07849998562670478,0.10661606213413834
2025-03-21 00:00:00-04:00,56.36000061035156,57.560001373291016,56.279998779296875,57.310001373291016,7642800,,,,0.23106180885427818,0.11187964082039235,0.11918216803388583
2025-03-24 00:00:00-04:00,57.52000045776367,57.95000076293945,57.310001373291016,57.83000183105469,6638000,,,,0.290167513216808,0.15016839870647872,0.1399991145103293
2025-03-25 00:00:00-04:00,57.83000183105469,58.08000183105469,57.54999923706055,57.84000015258789,4687400,,,,0.3307175002245941,0.18837886141250038,0.14233863881209374
2025-03-26 00:00:00-04:00,57.88999938964844,58.13999938964844,57.65999984741211,57.7599983215332,5211200,,,,0.35213777588567297,0.2226373485033929,0.12950042738228007
2025-03-27 00:00:00-04:00,57.84000015258789,58.709999084472656,57.72999954223633,58.58000183105469,3586200,,,,0.41245926928420573,0.26198619719312205,0.15047307209108368
