ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,258.69726844791705,268.57925709161293,257.8973376325404,267.75982666015625,2321000,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,266.55015157576537,271.3204421347377,260.52146601237604,261.1165466308594,1829900,,,,-0.14904794937524457,-0.08280441631958031,-0.06624353305566426
2025-03-11 00:00:00-04:00,260.8336162985301,261.2725808777237,248.36651615259436,248.5811309814453,1757500,,,,-0.5786391607698533,-0.2860153771598561,-0.29262378360999725
2025-03-12 00:00:00-04:00,248.55185153199542,249.35178223600656,242.54268098603342,245.14730834960938,1717400,,,,-0.883821546769326,-0.48852424220371443,-0.3952973045656116
2025-03-13 00:00:00-04:00,244.0449814478176,249.77127390410274,242.74754260798474,244.24008178710938,1097300,,,,-1.067147055067096,-0.6606514473629783,-0.40649560770411775
2025-03-14 00:00:00-04:00,245.20584266664562,248.88354425894727,244.9717133340031,248.22994995117188,860600,,,,-0.9866826317073389,-0.7490240253034872,-0.23765860640385172
2025-03-17 00:00:00-04:00,247.40076384105902,251.4003729427724,246.01553206469177,249.85906982421875,908400,,,,-0.8442828727319807,-0.7731314983128361,-0.07115137441914454
2025-03-18 00:00:00-04:00,249.46885762439078,250.83458980467776,246.80570145637424,248.40554809570312,845200,,,,-0.8043537312727267,-0.7806347880273188,-0.02371894324540791
2025-03-19 00:00:00-04:00,248.40555196523883,251.0004148663215,247.9470579622034,249.96636962890625,883500,,,,-0.6870269287401243,-0.7590109081409923,0.07198397940086798
2025-03-20 00:00:00-04:00,248.02508475114217,249.71272422780683,245.96674421935296,247.15687561035156,842500,,,,-0.7385181748788057,-0.7544193462887293,0.015901171409923642
2025-03-21 00:00:00-04:00,245.29364775416605,245.71312763531196,242.08420466791958,245.18634033203125,1565900,,,,-0.870350848734347,-0.7797844965986364,-0.09056635213571063
2025-03-24 00:00:00-04:00,246.73740125984045,249.86883091411423,246.73740125984045,249.3810577392578,683800,,,,-0.7247431511430023,-0.7679639239396651,0.04322077279666281
2025-03-25 00:00:00-04:00,250.38585435886438,251.09796241111533,246.98128124166234,248.74697875976562,786000,,,,-0.6429604846344716,-0.7415088531831026,0.09854836854863092
2025-03-26 00:00:00-04:00,248.9713446374826,251.1857565736281,247.51781956352298,249.62493896484375,891000,,,,-0.522511142716013,-0.6956943687557471,0.17318322603973413
2025-03-27 00:00:00-04:00,250.05414056785304,250.52239922246645,243.9474272965142,245.79115295410156,1491800,,,,-0.6525105469796699,-0.6867426435707871,0.034232096591117145
2025-03-28 00:00:00-04:00,246.20088349390875,246.27892660788658,240.1331690702508,240.4258270263672,939500,,,,-1.0683571902995368,-0.7652760724222339,-0.30308111787730285
2025-03-31 00:00:00-04:00,239.52284035682982,244.6952974407491,237.98190866860241,243.4193572998047,1546400,,,,-1.1869867208575897,-0.8515611697706346,-0.33542555108695515
2025-04-01 00:00:00-04:00,242.68323997567356,245.21548626465506,241.77046135913113,244.09658813476562,1010600,,,,-1.220566745366682,-0.9267161567757287,-0.29385058859095325
2025-04-02 00:00:00-04:00,242.19249079245643,248.54273291417488,242.19249079245643,247.75753784179688,980200,,,,-0.9966817305923996,-0.9409138823278828,-0.05576784826451686
2025-04-03 00:00:00-04:00,242.0943554360977,244.97011428530067,234.61539057353534,235.00799560546875,1492500,247.99502410888672,,,-1.6431664152627832,-1.0830025598334356,-0.5601638554293475
2025-04-04 00:00:00-04:00,229.16812942906026,231.28813666847876,220.7763860572376,221.3947296142578,2022700,245.6767692565918,,,-3.0236079156098015,-1.474736741081916,-1.5488711745278854
2025-04-07 00:00:00-04:00,215.45671277039338,225.66420390631527,211.471865326856,217.6454315185547,2341900,243.50321350097656,,,-4.307822013275711,-2.045565770325596,-2.262256242950115
2025-04-08 00:00:00-04:00,223.77975058611605,224.62383270053877,210.68667579088418,214.3672637939453,1840000,241.79252014160156,,,-5.475432929939785,-2.735612519297129,-2.7398204106426562
2025-04-09 00:00:00-04:00,212.2079884872013,231.06240557684748,211.87427045957455,230.5225830078125,2113200,241.06128387451173,,,-5.20703459653501,-3.2322422021132344,-1.9747923944217756
2025-04-10 00:00:00-04:00,225.25196599619758,227.3719880940151,215.7805930243701,222.61175537109375,1805300,239.97986755371093,,,-5.486939524464077,-3.6848917281435725,-1.8020477963205046
2025-04-11 00:00:00-04:00,222.0326801007047,229.4527424755242,219.54951147464342,228.019775390625,1451500,238.9693588256836,,,-5.260796405611558,-4.001028127275747,-1.2597682783358106
2025-04-14 00:00:00-04:00,230.65017794080242,231.6513020554556,228.37311367631298,229.22702026367188,1129900,237.93775634765626,,,-4.937553628599716,-4.188787201125027,-0.7487664274746884
2025-04-15 00:00:00-04:00,228.19644062874386,230.561835285069,226.98921203944073,227.21495056152344,669300,236.87822647094725,,,-4.771834549968247,-4.305622663545137,-0.4662118864231104
2025-04-16 00:00:00-04:00,226.5573661202678,229.1190559316569,223.48529725327282,225.5464324951172,1345900,235.6572296142578,,,-4.707319598437721,-4.386086562376254,-0.321233036061467
2025-04-17 00:00:00-04:00,226.56715393066406,229.59995451565152,226.22364140749016,226.56715393066406,889300,234.62774353027345,,,-4.528185326651908,-4.414541540788479,-0.11364378586342916
2025-04-21 00:00:00-04:00,224.5551085016037,225.58567607944184,220.73711269476254,223.39695739746094,939100,233.53827438354492,,,-4.567671616949383,-4.445197916624745,-0.12247370032463767
2025-04-22 00:00:00-04:00,225.4482664545998,232.40702746802322,225.4482664545998,231.8770294189453,1295400,232.6630729675293,,,-3.9214638337124086,-4.34036804526143,0.41890421154902135
2025-04-23 00:00:00-04:00,236.53910533728208,239.74858203876343,231.53350002217726,232.31869506835938,1072500,231.84165878295897,,,-3.338370733852429,-4.139841484171866,0.8014707503194369
2025-04-24 00:00:00-04:00,233.62408140181762,237.99170924118891,232.1714802838992,237.5893096923828,957700,231.23987731933593,,,-2.4515022698373627,-3.802002336505638,1.3505000666682752
2025-04-25 00:00:00-04:00,237.27523200049032,237.55004803075929,233.8105731408456,235.06687927246094,1285800,230.70366363525392,,,-1.9184642346750138,-3.4251418433618057,1.506677608686792
2025-04-28 00:00:00-04:00,236.04835553055494,238.95357264975559,234.20314945580526,235.67538452148438,972700,230.46614151000978,,,-1.433661964721324,-3.0267165712406596,1.5930546065193356
